sep=,
"query_id","query_file","stage_count","splits","cpu_ms","wall_ms","analysis_ms","planning_ms","queued_ms","execution_ms","cumulative_memory","peak_user_memory_bytes","peak_total_memory_bytes","peak_task_total_memory","peak_task_user_memory","peak_node_total_memory","cumulative_total_memory","total_bytes","total_rows","bytes_per_cpu_sec","bytes_per_sec","rows_per_cpu_sec","output_rows","output_bytes","written_rows","written_bytes","written_intermediate_bytes","stage_id","query_index","sequence_no","cold_run","succeeded","row_count","expected_row_count","start_time","end_time"
20251128_103210_00009_n6tuu,query_01.sql,4,"1,986","324,161","29,970",279,282,0,"29,691","47,331,371,154,560","2,158,769,920","2,158,769,920","466,531,072","2,158,769,920","536,870,912","47,331,371,154,560","71,517,160,475","5,999,989,709","220,622","2,386,291,641","18,509",4,527,0,0,0,catalog,0,0,1,1,4,4,2025-11-28 11:32:10,2025-11-28 11:32:40
20251128_103240_00010_n6tuu,query_02.sql,13,"2,042","189,968","14,252","1,101","1,111",0,"13,151","63,893,828,724,256","8,638,249,664","8,638,249,664","1,042,708,480","8,638,249,664","1,986,002,944","63,893,828,724,256","38,743,840,031","1,820,000,060","203,949","2,718,484,425","9,580",100,"18,162",0,0,0,catalog,0,0,1,1,100,100,2025-11-28 11:32:40,2025-11-28 11:32:55
20251128_103255_00011_n6tuu,query_03.sql,5,"3,086","663,296","52,573",350,353,0,"52,223","647,192,623,111,040","19,587,584,000","19,587,584,000","1,637,656,960","19,587,584,000","2,816,475,136","647,192,623,111,040","130,977,887,445","7,649,989,709","197,465","2,491,352,737","11,533",10,339,0,0,0,catalog,0,0,1,1,10,10,2025-11-28 11:32:55,2025-11-28 11:33:47
20251128_103347_00012_n6tuu,query_04.sql,6,"2,966","985,537","27,256",104,106,0,"27,152","796,907,590,406,880","54,499,448,704","54,499,448,704","5,901,324,288","54,499,448,704","7,596,933,120","796,907,590,406,880","76,254,642,774","7,499,989,709","77,373","2,797,719,503","7,610",5,173,0,0,0,catalog,0,0,1,1,5,5,2025-11-28 11:33:47,2025-11-28 11:34:15
20251128_103415_00013_n6tuu,query_05.sql,10,"3,297","928,127","57,190",256,260,0,"56,934","959,768,737,756,096","24,153,835,008","24,153,835,008","1,618,833,408","24,153,835,008","3,287,285,760","959,768,737,756,096","170,059,791,130","7,659,989,739","183,229","2,973,593,130","8,253",1,92,0,0,0,catalog,0,0,1,1,1,1,2025-11-28 11:34:15,2025-11-28 11:35:12
20251128_103512_00014_n6tuu,query_06.sql,2,"1,860","142,679","17,364",40,41,0,"17,324","17,632,986,261,760","1,637,025,280","1,637,025,280","322,626,112","1,637,025,280","414,187,520","17,632,986,261,760","66,069,896,794","5,999,989,709","463,066","3,804,992,905","42,052",1,52,0,0,0,catalog,0,0,1,1,1,1,2025-11-28 11:35:12,2025-11-28 11:35:29
20251128_103529_00015_n6tuu,query_07.sql,10,"3,304","518,488","48,138",236,239,0,"47,902","553,980,512,595,808","17,816,146,752","17,816,146,752","1,111,566,336","17,816,146,752","2,628,780,032","553,980,512,595,808","176,848,040,265","7,659,989,759","341,084","3,673,772,077","14,773",4,265,0,0,0,catalog,0,0,1,1,4,4,2025-11-28 11:35:29,2025-11-28 11:36:17
20251128_103617_00016_n6tuu,query_08.sql,13,"3,538","572,028","59,111",628,633,0,"58,483","1,038,419,766,394,784","20,541,942,848","20,541,942,848","1,710,625,280","20,541,942,848","3,015,704,576","1,038,419,766,394,784","219,899,652,055","7,859,989,764","384,421","3,720,113,888","13,740",2,95,0,0,0,catalog,0,0,1,1,2,2,2025-11-28 11:36:17,2025-11-28 11:37:16
20251128_103716_00017_n6tuu,query_09.sql,11,"4,093","3,285,212","87,150",214,218,0,"86,936","6,466,919,355,866,912","81,254,318,144","81,254,318,144","8,096,555,008","81,254,318,144","11,382,292,480","6,466,919,355,866,912","235,758,784,298","8,509,989,734","71,763","2,705,206,934","2,590",175,"4,829",0,0,0,catalog,0,0,1,1,175,175,2025-11-28 11:37:16,2025-11-28 11:38:44
20251128_103844_00018_n6tuu,query_10.sql,6,"3,098","739,037","43,628",96,100,0,"43,532","1,164,962,941,539,168","39,435,638,720","39,435,638,720","3,447,520,320","39,435,638,720","5,367,660,544","1,164,962,941,539,168","146,610,115,586","7,649,989,734","198,379","3,360,459,237","10,351",20,"3,919",0,0,0,catalog,0,0,1,1,20,20,2025-11-28 11:38:44,2025-11-28 11:39:27
20251128_103927_00019_n6tuu,query_11.sql,10,"1,814","94,032","7,023",139,143,0,"6,884","13,924,141,278,784","4,866,034,048","4,866,034,048","364,482,944","4,866,034,048","830,472,192","13,924,141,278,784","33,570,124,975","1,620,000,050","357,007","4,780,026,338","17,228",0,0,0,0,0,catalog,0,0,1,1,0,0,2025-11-28 11:39:27,2025-11-28 11:39:34
20251128_103934_00020_n6tuu,query_12.sql,5,"2,902","303,646","25,779",72,74,0,"25,707","227,730,029,948,096","16,916,058,944","16,916,058,944","2,122,666,112","16,916,058,944","2,265,972,736","227,730,029,948,096","85,315,965,237","7,499,989,709","280,971","3,309,514,149","24,699",2,138,0,0,0,catalog,0,0,1,1,2,2,2025-11-28 11:39:34,2025-11-28 11:40:00
20251128_104000_00021_n6tuu,query_13.sql,6,"1,302","1,348,706","35,967",72,75,0,"35,895","514,844,026,886,560","16,790,304,064","16,790,304,064","1,630,599,040","16,790,304,064","2,346,713,088","514,844,026,886,560","104,230,362,542","1,650,000,000","77,281","2,897,944,297","1,223",30,543,0,0,0,catalog,0,0,1,1,30,30,2025-11-28 11:40:00,2025-11-28 11:40:36
20251128_104036_00022_n6tuu,query_14.sql,4,"2,091","306,105","33,913",65,68,0,"33,848","168,366,446,813,344","8,387,939,008","8,387,939,008","986,981,376","8,387,939,008","1,397,751,808","168,366,446,813,344","111,384,389,404","6,199,989,709","363,876","3,284,415,693","20,254",1,52,0,0,0,catalog,0,0,1,1,1,1,2025-11-28 11:40:36,2025-11-28 11:41:10
20251128_104110_00023_n6tuu,query_15.sql,6,"3,098","751,946","44,887",101,104,0,"44,786","1,200,063,766,113,472","39,159,185,280","39,159,185,280","3,599,288,448","39,159,185,280","5,520,752,640","1,200,063,766,113,472","146,610,115,586","7,649,989,734","194,974","3,266,204,371","10,173",20,"3,919",0,0,0,catalog,0,0,1,1,20,20,2025-11-28 11:41:10,2025-11-28 11:41:55
20251128_104155_00024_n6tuu,query_16.sql,8,"1,255","269,565","9,662",105,109,0,"9,557","98,968,122,993,344","20,856,202,176","20,856,202,176","1,699,388,416","20,856,202,176","3,042,967,552","98,968,122,993,344","13,984,270,461","1,010,000,000","51,877","1,447,347,388","3,746","27,840","1,352,988",0,0,0,catalog,0,0,1,1,"27,840","27,840",2025-11-28 11:41:55,2025-11-28 11:42:05
20251128_104205_00025_n6tuu,query_17.sql,6,"4,014","2,437,309","60,179",95,97,0,"60,084","615,722,517,433,248","14,982,077,440","14,982,077,440","1,784,062,208","14,982,077,440","2,393,899,008","615,722,517,433,248","157,897,007,021","12,199,979,418","64,783","2,623,789,146","5,005",1,52,0,0,0,catalog,0,0,1,1,1,1,2025-11-28 11:42:05,2025-11-28 11:43:05
20251128_104305_00026_n6tuu,query_18.sql,8,"5,132","1,877,355","46,515",120,124,0,"46,395","1,237,406,793,993,920","77,438,936,320","77,438,936,320","7,131,809,792","77,438,936,320","11,074,011,136","1,237,406,793,993,920","138,267,253,733","13,649,979,418","73,650","2,972,530,447","7,270",100,"5,946",0,0,0,catalog,0,0,1,1,100,100,2025-11-28 11:43:05,2025-11-28 11:43:52
20251128_104352_00027_n6tuu,query_19.sql,3,"2,027","222,734","28,078",96,98,0,"27,982","94,770,888,842,304","4,475,044,608","4,475,044,608","705,659,072","4,475,044,608","797,966,336","94,770,888,842,304","110,683,353,102","6,199,989,709","496,930","3,941,995,623","27,835",1,52,0,0,0,catalog,0,0,1,1,1,1,2025-11-28 11:43:52,2025-11-28 11:44:20
20251128_104420_00028_n6tuu,query_20.sql,11,"3,186","703,855","38,825",159,163,0,"38,666","506,385,142,353,024","19,644,464,768","19,644,464,768","2,214,035,200","19,644,464,768","2,799,697,920","506,385,142,353,024","133,203,719,940","7,009,989,734","189,248","3,430,874,950","9,959","112,013","5,716,647",0,0,0,catalog,0,0,1,1,"112,013","112,013",2025-11-28 11:44:20,2025-11-28 11:44:59
20251128_104459_00029_n6tuu,query_21.sql,9,"6,810","3,660,032","57,978",218,222,0,"57,760","9,272,683,288,044,128","253,743,208,512","253,743,208,512","31,391,090,304","253,743,208,512","33,673,969,664","9,272,683,288,044,128","322,423,515,323","19,509,969,152","88,093","5,561,135,522","5,330",100,"3,071",0,0,0,catalog,0,0,1,1,100,100,2025-11-28 11:44:59,2025-11-28 11:45:57
20251128_104557_00030_n6tuu,query_22.sql,8,"1,505","388,202","6,507",117,121,0,"6,390","50,749,495,154,240","13,628,002,688","13,628,002,688","1,267,774,464","13,628,002,688","2,058,354,688","50,749,495,154,240","21,625,317,195","1,800,000,000","55,706","3,323,392,838","4,636",7,244,0,0,0,catalog,0,0,1,1,7,7,2025-11-28 11:45:57,2025-11-28 11:46:03